epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0547,1.48892,2.46159,1.2445,0.83154,0.8603,0.94334,0.66991,1.0335,0.896,1.02423,0.000194711,0.000194711,0.000194711
2,47.0766,1.22056,1.10724,1.10344,0.91872,0.93502,0.97627,0.70352,1.0118,0.64905,1.0073,0.00037137,0.00037137,0.00037137
3,68.9505,1.167,0.86589,1.07804,0.9738,0.96776,0.98643,0.72788,0.95721,0.55776,0.98148,0.000528626,0.000528626,0.000528626
4,91.2656,1.11591,0.75573,1.05906,0.97893,0.98436,0.98545,0.74749,0.90881,0.51187,0.976,0.000500682,0.000500682,0.000500682
5,114.108,1.08565,0.69658,1.04259,0.97834,0.99301,0.98729,0.74557,0.91143,0.49356,0.9711,0.000471576,0.000471576,0.000471576
6,135.834,1.07409,0.6695,1.04434,0.9818,0.9876,0.98572,0.74629,0.90404,0.47822,0.96364,0.00044247,0.00044247,0.00044247
7,157.87,1.03803,0.63907,1.03037,0.98182,0.98935,0.98393,0.73818,0.96821,0.4679,0.9732,0.000413364,0.000413364,0.000413364
8,180.343,1.02014,0.60002,1.02456,0.97215,0.98727,0.98305,0.75713,0.86731,0.444,0.95377,0.000384258,0.000384258,0.000384258
9,203.513,1.02184,0.5877,1.02756,0.98698,0.99137,0.9865,0.77531,0.82488,0.41861,0.94588,0.000355152,0.000355152,0.000355152
10,225.965,1.00765,0.5619,1.02091,0.98136,0.98901,0.98587,0.76593,0.88442,0.41753,0.94858,0.000326046,0.000326046,0.000326046
11,262.901,0.98792,0.51913,1.02431,0.98554,0.99301,0.98428,0.78004,0.82601,0.40256,0.94127,0.00029694,0.00029694,0.00029694
12,283.01,0.96279,0.51301,1.02901,0.97963,0.99301,0.98319,0.76726,0.8801,0.41912,0.9591,0.000267834,0.000267834,0.000267834
13,303.391,0.92036,0.49161,1.01141,0.97633,0.98549,0.9848,0.76778,0.86607,0.41657,0.95115,0.000238728,0.000238728,0.000238728
14,323.83,0.91319,0.47319,0.99348,0.98351,0.98284,0.98499,0.74936,0.93113,0.40247,0.95362,0.000209622,0.000209622,0.000209622
15,344.046,0.89776,0.46057,0.99494,0.98298,0.99141,0.98332,0.77199,0.84823,0.39067,0.94128,0.000180516,0.000180516,0.000180516
16,364.079,0.88379,0.44714,0.99134,0.9859,0.99299,0.9869,0.78461,0.82143,0.38456,0.93635,0.00015141,0.00015141,0.00015141
17,384.364,0.89182,0.44875,0.9971,0.98478,0.99246,0.98395,0.78898,0.7955,0.36961,0.92708,0.000122304,0.000122304,0.000122304
18,404.554,0.86498,0.42278,0.98249,0.98474,0.98984,0.9837,0.7856,0.79535,0.36527,0.93094,9.3198e-05,9.3198e-05,9.3198e-05
19,424.804,0.85078,0.41393,0.97794,0.9859,0.98694,0.9858,0.79019,0.78125,0.35884,0.9264,6.4092e-05,6.4092e-05,6.4092e-05
20,445.249,0.82925,0.41185,0.97347,0.98476,0.98627,0.98541,0.78672,0.79732,0.36131,0.92262,3.4986e-05,3.4986e-05,3.4986e-05
