epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.1543,2.13246,5.01828,1.55252,0.1805,0.16278,0.09258,0.03054,1.87042,4.17784,1.53985,5e-05,5e-05,5e-05
2,6.43989,2.10692,3.95515,1.45457,0.26471,0.20626,0.14713,0.05605,1.8049,4.15409,1.49922,0.000100991,0.000100991,0.000100991
3,8.66463,1.92864,3.15831,1.33701,0.35154,0.31312,0.14996,0.06635,1.67598,4.60718,1.40424,0.000146413,0.000146413,0.000146413
4,10.8347,1.77135,2.94043,1.2449,0.26608,0.36591,0.12631,0.05918,1.6021,3.93606,1.2871,0.000186266,0.000186266,0.000186266
5,12.8515,1.76785,2.77173,1.19529,0.36962,0.3687,0.15926,0.07891,1.61378,3.39799,1.26863,0.00022055,0.00022055,0.00022055
6,15.0101,1.7799,2.61314,1.19765,0.13187,0.32497,0.17052,0.09047,1.60264,2.99751,1.28072,0.000249266,0.000249266,0.000249266
7,16.9433,1.67664,2.37915,1.13044,0.14463,0.36476,0.19933,0.1084,1.59071,2.67458,1.30125,0.000272412,0.000272412,0.000272412
8,18.9361,1.73732,2.33493,1.2088,0.18568,0.29568,0.23836,0.12704,1.60145,2.45133,1.29931,0.000289991,0.000289991,0.000289991
9,21.0049,1.53172,2.12685,1.14825,0.18568,0.29568,0.23836,0.12704,1.60145,2.45133,1.29931,0.000302,0.000302,0.000302
10,23.1787,1.74376,2.17312,1.25458,0.20787,0.33419,0.25784,0.13851,1.59988,2.32699,1.29968,0.000308441,0.000308441,0.000308441
11,70.4235,1.65614,2.14941,1.22219,0.20787,0.33419,0.25784,0.13851,1.59988,2.32699,1.29968,0.000309313,0.000309313,0.000309313
12,72.8921,1.64752,2.02687,1.21235,0.2528,0.42859,0.27694,0.14517,1.57356,2.15313,1.27841,0.000284688,0.000284688,0.000284688
13,74.9286,1.583,2.13245,1.21769,0.2528,0.42859,0.27694,0.14517,1.57356,2.15313,1.27841,0.00025375,0.00025375,0.00025375
14,76.8284,1.57171,2.02745,1.18966,0.26554,0.3883,0.31635,0.16396,1.60449,1.93336,1.2715,0.000222813,0.000222813,0.000222813
15,78.7353,1.54458,1.99345,1.16,0.24194,0.43759,0.33669,0.17895,1.58388,1.83509,1.25993,0.000191875,0.000191875,0.000191875
16,80.5643,1.55816,1.86267,1.17206,0.24194,0.43759,0.33669,0.17895,1.58388,1.83509,1.25993,0.000160938,0.000160938,0.000160938
17,82.3649,1.57488,1.9621,1.15796,0.29993,0.38696,0.35935,0.20183,1.54898,1.78174,1.25098,0.00013,0.00013,0.00013
18,84.1819,1.57105,1.79126,1.21506,0.29993,0.38696,0.35935,0.20183,1.54898,1.78174,1.25098,9.90625e-05,9.90625e-05,9.90625e-05
19,86.0926,1.58611,1.75718,1.2757,0.31976,0.39976,0.35505,0.20241,1.53905,1.74561,1.24989,6.8125e-05,6.8125e-05,6.8125e-05
20,87.9151,1.52264,1.84723,1.1211,0.31976,0.39976,0.35505,0.20241,1.53905,1.74561,1.24989,3.71875e-05,3.71875e-05,3.71875e-05
